source,target,weight
Elon,Georgia Southern,15
Elon,Oberlin,13
Elon,Rensselaer Polytech,13
Elon,Mary Washington,10
Elon,Franciscan,10
Elon,Florida Tech,13
Elon,Messiah,12
American,Virginia Tech,2
American,Delaware,4
American,South Carolina,1
American,Maryland,2
American,Georgetown,14
American,Salisbury,8
American,Maryland-Baltimore County,6
American,Johns Hopkins,3
American,George Washington,5
American,Towson,15
American,MIT,7
American,Mary Washington,9
American,SUNY-Binghamton,3
American,George Mason,3
American,NYU,5
American,Pennsylvania,5
American,Shenandoah,7
American,Christopher Newport,8
American,Case Western Reserve,12
American,SUNY-Buffalo,13
American,West Virginia,11
American,Dayton,4
American,Liberty,2
American,North Carolina,3
American,Wake Forest,5
American,Rutgers,2
American,East Carolina,8
American,Lancaster Bible,6
American,SUNY Oneonta,7
American,SUNY-Oneonta,1
Delaware,American,9
Delaware,Virginia Tech,8
Delaware,Virginia,11
Delaware,James Madison,7
Delaware,Towson,13
Delaware,George Washington,10
Delaware,Maryland,9
Delaware,Georgetown,13
Delaware,Salisbury,15
Delaware,Maryland-Baltimore County,13
Delaware,Villanova,7
Delaware,Jefferson,12
Delaware,West Chester,9
Delaware,Pennsylvania,10
Delaware,Ohio,6
Delaware,Rhode Island,8
Delaware,North Carolina State,13
Delaware,University of Pittsburgh,3
Delaware,Campbell,13
Delaware,New Hampshire,6
Delaware,Princeton,13
Delaware,SUNY-Geneseo,10
Delaware,Michigan,1
Delaware,Cornell,15
Delaware,SUNY Oneonta,13
Delaware,Lancaster Bible,11
Delaware,SUNY-Oneonta,4
Delaware,St Mary's Maryland,15
George Washington,Maryland,6
George Washington,Virginia,9
George Washington,James Madison,8
George Washington,Virginia Tech,13
George Washington,Delaware,5
George Washington,Towson,13
George Washington,Maryland-Baltimore County,12
George Washington,Salisbury,15
George Washington,Georgetown,11
George Washington,American,13
George Washington,Liberty,13
George Washington,NYU,9
George Washington,Virginia Commonwealth,10
George Washington,Connecticut,8
George Washington,Shenandoah,15
George Washington,Pennsylvania,10
George Washington,Christopher Newport,4
George Washington,Duke,6
George Washington,Richmond,6
George Washington,George Mason,12
George Washington,Lehigh,15
George Washington,SUNY-Binghamton,4
George Washington,Drexel University,12
Utah State,Montana State,10
Utah State,Montana,13
Utah State,Idaho,0
Utah State,Brigham Young,9
Utah State,Utah,9
Utah State,Boise State,13
Utah State,Oregon State,11
Utah State,Oregon,9
Utah State,Whitman,9
Utah State,British Columbia,8
Utah State,Denver,11
Utah State,Northern Arizona,13
Utah State,Humboldt State,5
Utah State,Whitworth,9
Utah State,UCLA,6
Utah State,Colorado-Denver,13
Utah State,Occidental,9
Utah State,New Mexico,13
Utah State,Nevada-Reno,7
Utah State,Colorado School of Mines,13
Montana State,Utah State,8
Montana State,Brigham Young,13
Montana State,Montana,10
Montana State,Idaho,8
Montana State,Utah,10
Montana State,Boise State,8
Montana State,Washington State,11
