Id, Division, Region
SUNY-Cortland,Division III,Metro East

Sacred Heart,Division I,Metro East

Maryland-Baltimore County,Division I,Atlantic Coast

Hofstra,Division I,Metro East

Tulsa,Division III,South Central

Jefferson,Division III,Ohio Valley

Trevecca,Division III,Southeast

High Point,Division III,Atlantic Coast

Swarthmore,Division III,Ohio Valley

Idaho,Division I,Northwest

George Fox,Division III,Northwest

Texas-Arlington,Division I,South Central

Indiana (Pennsylvania),Division I,Ohio Valley

Nebraska-Omaha,Division I,North Central

Rice B,Division III,South Central

University of Denver B,Division I,South Central

Portland State,Division I,Northwest

Miami,Division I,Southeast

Kentucky B,Division I,Great Lakes

Colorado School of Mines B,Division III,South Central

Willamette University,Division III,Northwest

Radford,Division I,Atlantic Coast

SUNY-Fredonia,Division III,Metro East

Central Washington,Division I,Northwest

Dickinson,Division III,Ohio Valley

Coe,Division III,North Central

Edinboro,Division I,Ohio Valley

Pacific Lutheran B,Division III,Northwest

Lehigh B,Division III,Ohio Valley

Kenyon B,Division III,Ohio Valley

Shenandoah,Division III,Atlantic Coast

Drury University,Division III,South Central

Goucher,Division III,Atlantic Coast

Coastal Carolina,Division I,Atlantic Coast

St Mary's (Maryland),Division III,Atlantic Coast

