Date,Home Team,Away Team,Home Score,Away Score
4/28/2019,Franciscan,Haverford,15,8
4/28/2019,Shippensburg,Oberlin,8,15
4/28/2019,Xavier,Cedarville,L,14
4/28/2019,Franciscan,Oberlin,15,11
4/28/2019,Xavier,Oberlin,0,0
4/28/2019,Messiah,Swarthmore,0,0
4/28/2019,Haverford,Shippensburg,10,8
4/28/2019,No Opponent,Haverford,0,0
4/28/2019,No Opponent,Shippensburg,0,0
Date,Home Team,Away Team,Home Score,Away Score
4/28/2019,Colorado,Texas,12,9
4/27/2019,Colorado,Texas,13,11
4/27/2019,Colorado State,Texas,10,11
4/27/2019,Colorado,Texas A,14,9
4/27/2019,Texas Tech,Texas,9,12
4/27/2019,Colorado State,Oklahoma,12,7
4/27/2019,Oklahoma State,Texas,7,15
4/27/2019,Colorado,Colorado,15,6
4/27/2019,Texas A,Texas State,13,10
4/27/2019,Texas Tech,Baylor,15,6
4/27/2019,Saint Louis,Texas,5,15
4/27/2019,Colorado State,Arkansas,10,9
4/27/2019,Kansas,Oklahoma,6,13
4/27/2019,Oklahoma State,Washington University,15,11
4/27/2019,Kansas State,Texas,5,15
4/28/2019,Texas,Texas A,15,10
4/28/2019,Texas,Texas A,11,14
4/28/2019,Oklahoma,Texas,9,13
4/28/2019,Texas A,Colorado State,13,11
4/27/2019,Oklahoma State,Oklahoma,8,14
4/27/2019,Texas Tech,Texas A,8,15
4/27/2019,Oklahoma State,Colorado,15,11
4/27/2019,Oklahoma,Saint Louis,14,10
4/27/2019,Texas Tech,Kansas,12,10
4/27/2019,Texas A,Washington University,12,8
4/27/2019,Colorado,Texas State,15,9
4/27/2019,Baylor,Saint Louis,12,15
4/27/2019,Arkansas,Kansas,6,11
4/27/2019,Washington University,Kansas State,12,9
4/27/2019,Texas State,Kansas State,0,15
4/27/2019,Texas State,Baylor,15,6
4/27/2019,Arkansas,Kansas State,9,15
4/27/2019,Baylor,Arkansas,0,0
4/27/2019,Colorado,Saint Louis,9,13
4/27/2019,Kansas,Washington University,3,11
Date,Home Team,Away Team,Home Score,Away Score
Sat 4/27,Rice,John Brown,11,15
Sat 4/27,Colorado School,Trinity,15,6
Sat 4/27,Rice,Trinity,15,9
Sat 4/27,Colorado School,John Brown,8,12
Sat 4/27,Rice,Colorado School,W,L
Sat 4/27,John Brown,Trinity,15,8
Sat 4/27,Air Force,Truman State,15,9
Sat 4/27,Missouri S,Colorado College,13,12
Sat 4/27,Air Force,Colorado College,12,10
Sat 4/27,Missouri S,Truman State,15,10
Sat 4/27,Air Force,Missouri S,15,8
Sat 4/27,Truman State,Colorado College,14,7
4/28/2019,Missouri S,Air Force,9,15
4/27/2019,John Brown,Missouri S,9,15
4/27/2019,Rice,Air Force,13,15
4/28/2019,Missouri S,Rice,15,13
4/28/2019,Colorado College,Rice,12,13
4/28/2019,John Brown,Colorado College,11,12
4/28/2019,Truman State,Rice,12,15
4/27/2019,Colorado School,Colorado College,8,12
4/27/2019,Trinity,Truman State,8,15
4/28/2019,Colorado School,Trinity,15,8
4/28/2019,John Brown,Truman State,15,11
Date,Home Team,Away Team,Home Score,Away Score
Sat 4/27,Central Florida,Georgia Tech,13,10
Sat 4/27,Kennesaw State,Emory,13,10
Sat 4/27,Central Florida,Emory,11,7
Sat 4/27,Kennesaw State,Georgia Tech,13,5
Sat 4/27,Central Florida,Kennesaw State,11,9
Sat 4/27,Georgia Tech,Emory,11,12
Sat 4/27,Georgia,Tulane,13,6
Sat 4/27,Tennessee,Tennessee,12,9
Sat 4/27,Georgia,Tennessee,13,5
Sat 4/27,Tennessee,Tulane,10,9
Sat 4/27,Georgia,Tennessee,13,2
Sat 4/27,Tulane,Tennessee,9,7
Sat 4/27,Auburn,Alabama,12,10
Sat 4/27,Florida State,South Florida,13,6
Sat 4/27,Auburn,South Florida,13,8
Sat 4/27,Florida State,Alabama,13,6
Sat 4/27,Auburn,Florida State,12,7
Sat 4/27,Alabama,South Florida,13,4
Sat 4/27,Alabama,Florida,13,5
Sat 4/27,LSU,Alabama,13,2
Sat 4/27,Alabama,Alabama,13,4
Sat 4/27,LSU,Florida,12,13
Sat 4/27,Alabama,LSU,10,11
Sat 4/27,Florida,Alabama,13,7
4/28/2019,Central Florida,Georgia,12,15
4/28/2019,Central Florida,Alabama,14,13
4/28/2019,LSU,Georgia,7,15
4/28/2019,Central Florida,Alabama,15,10
4/28/2019,Alabama,Florida State,13,12
4/28/2019,Auburn,LSU,11,12
4/28/2019,Georgia,Florida,15,11
4/27/2019,Tennessee,Alabama,14,15
4/27/2019,Florida State,Tulane,13,8
4/27/2019,Emory,LSU,13,14
4/27/2019,Florida,Kennesaw State,15,10
Date,Home Team,Away Team,Home Score,Away Score
Sat 4/27,North Georgia,Berry,6,13
Sat 4/27,Belmont,Stetson,13,11
Sat 4/27,North Georgia,Stetson,13,5
Sat 4/27,Belmont,Berry,6,15
Sat 4/27,North Georgia,Belmont,13,6
Sat 4/27,Berry,Stetson,13,4
Sat 4/27,Samford,Embry,15,11
Sat 4/27,Union,Florida Tech,6,13
Sat 4/27,Samford,Florida Tech,7,15
Sat 4/27,Union,Embry,12,14
Sat 4/27,Samford,Union,15,8
Sat 4/27,Embry,Florida Tech,9,15
4/28/2019,Berry,Florida Tech,14,11
4/28/2019,Berry,Samford,15,13
4/28/2019,North Georgia,Florida Tech,11,12
4/28/2019,Berry,Union,15,10
4/28/2019,Samford,Belmont,15,12
4/28/2019,North Georgia,Embry,15,5
4/28/2019,Florida Tech,Stetson,15,3
4/28/2019,No Opponent,Embry,0,0
4/28/2019,Union,Belmont,0,0
4/28/2019,Embry,Stetson,15,11
4/28/2019,Samford,North Georgia,10,11
4/28/2019,No Opponent,Stetson,0,0
Date,Home Team,Away Team,Home Score,Away Score
Sat 4/27,Cal Poly,California,11,7
Sat 4/27,California,Las Positas,13,12
Sat 4/27,Cal Poly,Las Positas,13,4
Sat 4/27,California,California,4,11
Sat 4/27,Cal Poly,California,13,4
Sat 4/27,California,Las Positas,8,9
Sat 4/27,Southern California,Stanford,9,13
Sat 4/27,Arizona,Humboldt State,13,9
Sat 4/27,Southern California,Humboldt State,13,9
Sat 4/27,Arizona,Stanford,12,14
Sat 4/27,Southern California,Arizona,12,4
Sat 4/27,Stanford,Humboldt State,13,6
Sat 4/27,California,New Mexico,12,11
Sat 4/27,California,Chico State,13,10
Sat 4/27,California,Chico State,13,7
Sat 4/27,California,New Mexico,13,7
Sat 4/27,California,California,13,6
Sat 4/27,New Mexico,Chico State,11,12
Sat 4/27,California,Northern Arizona,13,5
Sat 4/27,UCLA,Santa Clara,13,4
Sat 4/27,California,Santa Clara,13,4
Sat 4/27,UCLA,Northern Arizona,13,10
Sat 4/27,California,UCLA,9,12
Sat 4/27,Northern Arizona,Santa Clara,7,10
4/28/2019,Cal Poly,California,15,8
4/27/2019,Cal Poly,UCLA,15,12
4/27/2019,California,Stanford,15,11
4/28/2019,California,Southern California,14,13
4/28/2019,Southern California,Stanford,15,13
4/28/2019,UCLA,Southern California,12,15
4/28/2019,California,Stanford,11,15
4/28/2019,California,Southern California,8,15
4/28/2019,Arizona,California,6,15
4/27/2019,California,Santa Clara,15,9
4/27/2019,Las Positas,Southern California,7,15
4/27/2019,California,Arizona,10,11
4/27/2019,Chico State,California,11,15
4/28/2019,California,Arizona,15,7
4/28/2019,Santa Clara,Chico State,W,L
4/28/2019,Santa Clara,Las Positas,W,F
4/28/2019,California,Chico State,11,15
4/28/2019,Las Positas,California,F,W
4/28/2019,Northern Arizona,New Mexico,0,0
4/28/2019,California,Northern Arizona,11,12
4/28/2019,New Mexico,Humboldt State,15,9
4/28/2019,California,Humboldt State,13,6
Date,Home Team,Away Team,Home Score,Away Score
Sat 4/13,Montana,Idaho,13,8
Sat 4/13,Utah State,Montana State,13,10
Sat 4/13,Brigham Young,Montana State,13,5
Sat 4/13,Utah State,Montana,8,12
Sat 4/13,Brigham Young,Idaho,13,6
Sat 4/13,Montana State,Montana,13,11
Sat 4/13,Brigham Young,Montana,13,6
Sat 4/13,Utah State,Idaho,13,6
Sat 4/13,Brigham Young,Utah State,13,9
Sat 4/13,Montana State,Idaho,13,10
Sat 4/13,Boise State,Brigham Young,13,9
Sat 4/13,Washington State,Gonzaga,9,13
Sat 4/13,Utah,Gonzaga,13,6
Sat 4/13,Washington State,Boise State,11,8
Sat 4/13,Utah,Brigham Young,13,6
Sat 4/13,Gonzaga,Boise State,8,12
Sat 4/13,Utah,Boise State,13,8
Sat 4/13,Washington State,Brigham Young,9,13
Sat 4/13,Utah,Washington State,13,4
Sat 4/13,Gonzaga,Brigham Young,12,13
