Id,Label,timeset,division,region
New Mexico,New Mexico,,Division I,Southwest
California-Santa Barbara,California-Santa Barbara,,Division I,Southwest
Chico State,Chico State,,Division I,Southwest
California-San Diego,California-San Diego,,Division I,Southwest
Northern Arizona,Northern Arizona,,Division I,Southwest
UCLA,UCLA,,Division I,Southwest
Santa Clara,Santa Clara,,Division I,Southwest
Brigham Young,Brigham Young,,Division I,Northwest
Brigham Young B,Brigham Young B,,,Northwest
Gonzaga,Gonzaga,,Division I,Northwest
Washington State,Washington State,,Division I,Northwest
Washington B,Washington B,,Division I,Northwest
Oregon State B,Oregon State B,,,Northwest
Western Washington,Western Washington,,Division I,Northwest
Western Washington B,Western Washington B,,,Northwest
Washington C,Washington C,,,Northwest
North Carolina-Charlotte,North Carolina-Charlotte,,Division I,Atlantic Coast
Charleston,Charleston,,Division I,Atlantic Coast
Clemson,Clemson,,Division I,Atlantic Coast
Wake Forest,Wake Forest,,Division I,Atlantic Coast
Campbell,Campbell,,Division III,Atlantic Coast
Anderson,Anderson,,,Atlantic Coast
Maryland-Baltimore County,Maryland-Baltimore County,,Division I,Atlantic Coast
Salisbury,Salisbury,,Division I,Atlantic Coast
American,American,,Division I,Atlantic Coast
George Washington,George Washington,,Division I,Atlantic Coast
Towson,Towson,,Division I,Atlantic Coast
Delaware,Delaware,,Division I,Atlantic Coast
Maryland-Baltimore County B,Maryland-Baltimore County B,,,Atlantic Coast
Georgetown B,Georgetown B,,,Atlantic Coast
Towson B,Towson B,,,Atlantic Coast
Grand Canyon,Grand Canyon,,Division I,Southwest
Arizona State,Arizona State,,Division I,Southwest
Millersville,Millersville,,,Ohio Valley
Saint Joseph's,Saint Joseph's,,,Ohio Valley
Ursinus,Ursinus,,,Ohio Valley
Jefferson,Jefferson,,Division III,Ohio Valley
Lancaster Bible,Lancaster Bible,,,Ohio Valley
Scranton,Scranton,,,Ohio Valley
Ball State,Ball State,,Division I,Great Lakes
Southern Indiana,Southern Indiana,,,Great Lakes
Kalamazoo,Kalamazoo,,,Great Lakes
Indiana Wesleyan,Indiana Wesleyan,,,Great Lakes
Kettering,Kettering,,,Great Lakes
Georgia College,Georgia College,,Division III,Southeast
Dalton State,Dalton State,,,Southeast
Ave Maria,Ave Maria,,Division III,Southeast
Florida Atlantic,Florida Atlantic,,,Southeast
Miami,Miami,,Division I,Southeast
North Florida,North Florida,,Division I,Southeast
Florida Gulf Coast,Florida Gulf Coast,,Division I,Southeast
Rhode Island,Rhode Island,,Division I,New England
Maine,Maine,,Division I,New England
Vermont B,Vermont B,,,New England
Colby B,Colby B,,,New England
Amherst College B,Amherst College B,,,New England
Kentucky B,Kentucky B,,Division I,Great Lakes
Michigan State B,Michigan State B,,,Great Lakes
Indiana B,Indiana B,,,Great Lakes
Chicago B,Chicago B,,,Great Lakes
Illinois B,Illinois B,,,Great Lakes
Notre Dame B,Notre Dame B,,,Great Lakes
Northwestern B,Northwestern B,,,Great Lakes
Purdue B,Purdue B,,,Great Lakes
Southern Mississippi,Southern Mississippi,,,Southeast
Troy,Troy,,Division I,Southeast
Mississippi State,Mississippi State,,Division I,Southeast
Vanderbilt,Vanderbilt,,Division I,Southeast
Jacksonville State,Jacksonville State,,Division I,Southeast
Middle Tennessee State,Middle Tennessee State,,Division I,Southeast
Mississippi,Mississippi,,Division I,Southeast
Sacred Heart,Sacred Heart,,Division I,Metro East
SUNY-New Paltz,SUNY-New Paltz,,,Metro East
Southern Connecticut State,Southern Connecticut State,,,New England
New Haven,New Haven,,,New England
Union,Union,,,Metro East
Skidmore,Skidmore,,,Metro East
Vassar,Vassar,,,Metro East
Hartford,Hartford,,,New England
Saint Rose,Saint Rose,,,North Central
Illinois-Chicago,Illinois-Chicago,,,North Central
DePaul,DePaul,,,North Central
Northern Illinois,Northern Illinois,,,North Central
Wisconsin,Wisconsin,,Division I,North Central
Wisconsin-Eau Claire,Wisconsin-Eau Claire,,Division I,North Central
Wisconsin-Milwaukee,Wisconsin-Milwaukee,,Division I,North Central
Wisconsin-Oshkosh,Wisconsin-Oshkosh,,Division I,North Central
Marquette,Marquette,,,North Central
Northern Michigan,Northern Michigan,,,North Central
Wisconsin- La Crosse,Wisconsin- La Crosse,,,North Central
Wisconsin-Stevens Point,Wisconsin-Stevens Point,,,North Central
Wisconsin-Whitewater,Wisconsin-Whitewater,,Division I,North Central
Milwaukee School of Engineering,Milwaukee School of Engineering,,,North Central
Carthage College,Carthage College,,,North Central
Wisconsin-Green Bay,Wisconsin-Green Bay,,,North Central
Wisconsin-River Falls,Wisconsin-River Falls,,,North Central
Massachusetts-Lowell,Massachusetts-Lowell,,Division I,New England
Massachusetts- Dartmouth,Massachusetts- Dartmouth,,,New England
Boston University,Boston University,,Division I,New England
Wentworth,Wentworth,,,New England
Wheaton MA,Wheaton MA,,,New England
Stonehill,Stonehill,,,New England
Northeastern B,Northeastern B,,,New England
Harvard B,Harvard B,,,New England
Tufts C,Tufts C,,,New England
MIT B,MIT B,,,New England
Yale B,Yale B,,,New England
SUNY-Stony Brook-B,SUNY-Stony Brook-B,,,New England
Connecticut B,Connecticut B,,,Metro East
Rutgers B,Rutgers B,,,Metro East
Princeton B,Princeton B,,,Metro East
SUNY-Binghamton B,SUNY-Binghamton B,,,Metro East
SUNY Oneonta B,SUNY Oneonta B,,,Metro East
Cornell B,Cornell B,,,Metro East
SUNY-Albany B,SUNY-Albany B,,,Metro East
SUNY-Buffalo B,SUNY-Buffalo B,,,Metro East
New Jersey Tech,New Jersey Tech,,,Metro East
Columbia,Columbia,,Division I,Metro East
Rowan,Rowan,,Division I,Metro East
Hofstra,Hofstra,,Division I,Metro East
College of New Jersey,College of New Jersey,,Division III,Metro East
New York Tech,New York Tech,,,Metro East
Western Michigan,Western Michigan,,,Great Lakes
Michigan State,Michigan State,,Division I,Great Lakes
Fresno State,Fresno State,,Division I,Southwest
Sacramento State,Sacramento State,,,Southwest
Sonoma State,Sonoma State,,Division I,Southwest
Nevada-Reno,Nevada-Reno,,Division I,Southwest
San Jose State,San Jose State,,Division I,Southwest
Minnesota B,Minnesota B,,,North Central
Luther B,Luther B,,,North Central
Marquette B,Marquette B,,,North Central
Wisconsin C,Wisconsin C,,,North Central
Wisconsin B,Wisconsin B,,,North Central
Iowa State B,Iowa State B,,,North Central
Minnesota C,Minnesota C,,,North Central
Wisconsin-Milwaukee B,Wisconsin-Milwaukee B,,,North Central
Catholic,Catholic,,Division III,Atlantic Coast
Roanoke,Roanoke,,,Atlantic Coast
Shenandoah,Shenandoah,,Division III,Atlantic Coast
St Mary's Maryland,St Mary's Maryland,,,Atlantic Coast
Stephen F. Austin,Stephen F. Austin,,Division I,South Central
North Texas B,North Texas B,,,South Central
Texas-Arlington,Texas-Arlington,,Division I,South Central
Texas Christian,Texas Christian,,Division I,South Central
Southern Methodist,Southern Methodist,,Division I,South Central
North Texas,North Texas,,Division I,South Central
Texas-Dallas B,Texas-Dallas B,,,South Central
Pacific Lutheran,Pacific Lutheran,,Division III,Northwest
Portland,Portland,,Division III,Northwest
Willamette University,Willamette University,,Division III,Northwest
Whitworth,Whitworth,,Division III,Northwest
Lewis & Clark,Lewis & Clark,,Division III,Northwest
Puget Sound,Puget Sound,,Division III,Northwest
Seattle,Seattle,,Division III,Northwest
Minnesota State-Mankato,Minnesota State-Mankato,,,North Central
North Dakota State,North Dakota State,,,North Central
Minnesota,Minnesota,,Division I,North Central
Minnesota-Duluth,Minnesota-Duluth,,Division I,North Central
Carleton College-CUT,Carleton College-CUT,,Division I,North Central
Bethel,Bethel,,,North Central
Toledo,Toledo,,Division I,Ohio Valley
Kent State,Kent State,,,Ohio Valley
Wright State,Wright State,,Division I,Ohio Valley
Akron,Akron,,Division I,Ohio Valley
Cleveland State,Cleveland State,,,Ohio Valley
John Carroll,John Carroll,,,Ohio Valley
Ohio Wesleyan,Ohio Wesleyan,,,Ohio Valley
Kenyon,Kenyon,,Division III,Ohio Valley
Denison,Denison,,Division III,Ohio Valley
Ohio Northern,Ohio Northern,,,Ohio Valley
Case Western Reserve B,Case Western Reserve B,,,Ohio Valley
Temple B,Temple B,,,Ohio Valley
Penn State B,Penn State B,,,Ohio Valley
Oberlin B,Oberlin B,,,Ohio Valley
Ohio State-B B,Ohio State-B B,,,Ohio Valley
Pennsylvania B,Pennsylvania B,,,Ohio Valley
Missouri,Missouri,,Division I,South Central
Missouri State,Missouri State,,Division I,South Central
Central Arkansas,Central Arkansas,,,South Central
Oklahoma B,Oklahoma B,,,South Central
Tulsa,Tulsa,,Division III,South Central
Harding,Harding,,,South Central
Colorado Mesa,Colorado Mesa,,,South Central
Denver,Denver,,Division I,South Central
Colorado State B,Colorado State B,,Division I,South Central
Colorado-Colorado Springs,Colorado-Colorado Springs,,Division I,South Central
Colorado-Denver,Colorado-Denver,,Division I,South Central
Colorado School of Mines - B,Colorado School of Mines - B,,,South Central
Air Force B,Air Force B,,,South Central
California-Irvine,California-Irvine,,Division I,Southwest
Cal State-Long Beach,Cal State-Long Beach,,Division I,Southwest
Cal Poly-Pomona,Cal Poly-Pomona,,Division I,Southwest
San Diego State,San Diego State,,Division I,Southwest
Loyola Marymount,Loyola Marymount,,Division I,Southwest
Georgia Tech B,Georgia Tech B,,,Southeast
Central Florida B,Central Florida B,,,Southeast
Georgia B,Georgia B,,,Southeast
South Florida B,South Florida B,,,Southeast
LSU B,LSU B,,,Southeast
Florida B,Florida B,,,Southeast
Alabama B,Alabama B,,,Southeast
Florida Tech B,Florida Tech B,,,Southeast
Georgia State,Georgia State,,Division I,Southeast
Georgia Southern,Georgia Southern,,Division I,Southeast
Tennessee Tech,Tennessee Tech,,,Southeast
North Carolina State B,North Carolina State B,,,Southeast
William & Mary B,William & Mary B,,,Atlantic Coast
Amherst College,Amherst College,,Division III,New England
Clark,Clark,,,New England
Providence College,Providence College,,,New England
Worcester Polytech,Worcester Polytech,,,New England
Texas State B,Texas State B,,Division I,South Central
Texas A&M B,Texas A&M B,,,South Central
Texas-Rio Grande Valley,Texas-Rio Grande Valley,,,South Central
Sam Houston State,Sam Houston State,,Division I,South Central
Texas B,Texas B,,Division I,South Central
Lamar,Lamar,,,South Central
Texas-San Antonio,Texas-San Antonio,,Division I,South Central
Houston,Houston,,,South Central
Texas-El Paso,Texas-El Paso,,,South Central
Caltech,Caltech,,Division III,Southwest
Occidental,Occidental,,Division III,Southwest
Claremont,Claremont,,Division III,Southwest
Biola Univeristy,Biola Univeristy,,,Southwest
Cal Poly-SLO B,Cal Poly-SLO B,,,Southwest
California B,California B,,,Southwest
California-San Diego C,California-San Diego C,,,Southwest
Southern California B,Southern California B,,,Southwest
California-Santa Barbara B,California-Santa Barbara B,,,Southwest
Arizona State B,Arizona State B,,,Southwest
Arizona B,Arizona B,,,Southwest
California-San Diego B,California-San Diego B,,,Southwest
Cal Poly-SLO C,Cal Poly-SLO C,,,Southwest
UCLA B,UCLA B,,,Southwest
California-Irvine B,California-Irvine B,,,Southwest
Sul Ross State,Sul Ross State,,,South Central
Dallas Baptist,Dallas Baptist,,,South Central
Abilene Christian,Abilene Christian,,,South Central
Dallas,Dallas,,,South Central
Virginia Commonwealth,Virginia Commonwealth,,,South Central
Radford,Radford,,Division I,Atlantic Coast
George Mason,George Mason,,Division I,Atlantic Coast
SUNY-Cortland,SUNY-Cortland,,Division III,Metro East
St Lawrence University,St Lawrence University,,,Metro East
Slippery Rock,Slippery Rock,,Division I,Ohio Valley
Edinboro,Edinboro,,Division I,Ohio Valley
Indiana Pennsylvania,Indiana Pennsylvania,,,Ohio Valley
West Virginia,West Virginia,,Division I,Ohio Valley
Bucknell,Bucknell,,,Ohio Valley
Allegheny,Allegheny,,Division III,Ohio Valley
Susquehanna,Susquehanna,,,Ohio Valley
California-Pennsylvania,California-Pennsylvania,,,Ohio Valley
Dickinson,Dickinson,,Division III,Ohio Valley
Iowa State,Iowa State,,Division I,North Central
Nebraska,Nebraska,,Division I,North Central
